ticket,queue,hour,resolved_by_role
SD-00001,referral-intake,22,house_coordinator
SD-00002,referral-intake,2,house_coordinator
SD-00003,referral-intake,3,house_coordinator
SD-00004,referral-intake,3,house_coordinator
SD-00005,referral-intake,4,on_call_supervisor
SD-00006,referral-intake,1,house_coordinator
SD-00007,referral-intake,23,house_coordinator
SD-00008,referral-intake,0,house_coordinator
SD-00009,referral-intake,22,house_coordinator
SD-00010,referral-intake,22,house_coordinator
SD-00011,referral-intake,4,house_coordinator
SD-00012,referral-intake,0,house_coordinator
SD-00013,referral-intake,23,house_coordinator
SD-00014,referral-intake,23,house_coordinator
SD-00015,referral-intake,21,house_coordinator
SD-00016,referral-intake,1,house_coordinator
SD-00017,referral-intake,3,house_coordinator
SD-00018,referral-intake,2,house_coordinator
SD-00019,referral-intake,3,house_coordinator
SD-00020,referral-intake,23,house_coordinator
SD-00021,referral-intake,21,house_coordinator
SD-00022,referral-intake,0,house_coordinator
SD-00023,referral-intake,4,house_coordinator
SD-00024,referral-intake,4,house_coordinator
SD-00025,referral-intake,22,house_coordinator
SD-00026,referral-intake,22,house_coordinator
SD-00027,referral-intake,21,house_coordinator
SD-00028,referral-intake,1,house_coordinator
SD-00029,referral-intake,2,house_coordinator
SD-00030,referral-intake,2,house_coordinator
SD-00031,referral-intake,4,house_coordinator
SD-00032,referral-intake,23,house_coordinator
SD-00033,referral-intake,0,house_coordinator
SD-00034,referral-intake,2,house_coordinator
SD-00035,referral-intake,23,house_coordinator
SD-00036,referral-intake,23,house_coordinator
SD-00037,referral-intake,23,house_coordinator
SD-00038,referral-intake,23,house_coordinator
SD-00039,referral-intake,22,house_coordinator
SD-00040,referral-intake,0,house_coordinator
SD-00041,referral-intake,2,house_coordinator
SD-00042,referral-intake,1,house_coordinator
SD-00043,referral-intake,4,house_coordinator
SD-00044,referral-intake,2,house_coordinator
SD-00045,referral-intake,5,house_coordinator
SD-00046,referral-intake,5,house_coordinator
SD-00047,referral-intake,3,on_call_supervisor
SD-00048,referral-intake,1,house_coordinator
SD-00049,referral-intake,0,house_coordinator
SD-00050,referral-intake,0,house_coordinator
SD-00051,referral-intake,5,house_coordinator
SD-00052,referral-intake,22,house_coordinator
SD-00053,referral-intake,23,house_coordinator
SD-00054,referral-intake,5,house_coordinator
SD-00055,referral-intake,5,house_coordinator
SD-00056,referral-intake,1,house_coordinator
SD-00057,referral-intake,21,house_coordinator
SD-00058,referral-intake,21,house_coordinator
SD-00059,referral-intake,22,house_coordinator
SD-00060,referral-intake,21,house_coordinator
SD-00061,referral-intake,23,house_coordinator
SD-00062,referral-intake,4,house_coordinator
SD-00063,referral-intake,21,house_coordinator
SD-00064,referral-intake,22,house_coordinator
SD-00065,referral-intake,5,on_call_supervisor
SD-00066,referral-intake,3,house_coordinator
SD-00067,referral-intake,4,house_coordinator
SD-00068,referral-intake,22,house_coordinator
SD-00069,referral-intake,23,house_coordinator
SD-00070,referral-intake,5,house_coordinator
SD-00071,referral-intake,1,house_coordinator
SD-00072,referral-intake,4,house_coordinator
SD-00073,referral-intake,2,house_coordinator
SD-00074,referral-intake,2,house_coordinator
SD-00075,referral-intake,23,on_call_supervisor
SD-00076,referral-intake,23,house_coordinator
SD-00077,referral-intake,5,house_coordinator
SD-00078,referral-intake,2,on_call_supervisor
SD-00079,referral-intake,5,house_coordinator
SD-00080,referral-intake,21,house_coordinator
SD-00081,referral-intake,3,house_coordinator
SD-00082,referral-intake,21,house_coordinator
SD-00083,referral-intake,2,on_call_supervisor
SD-00084,referral-intake,1,house_coordinator
SD-00085,referral-intake,1,house_coordinator
SD-00086,referral-intake,0,house_coordinator
SD-00087,referral-intake,4,house_coordinator
SD-00088,referral-intake,22,house_coordinator
SD-00089,referral-intake,5,house_coordinator
SD-00090,referral-intake,4,house_coordinator
SD-00091,referral-intake,0,house_coordinator
SD-00092,referral-intake,23,house_coordinator
SD-00093,referral-intake,4,house_coordinator
SD-00094,referral-intake,23,on_call_supervisor
SD-00095,referral-intake,1,house_coordinator
SD-00096,referral-intake,22,on_call_supervisor
SD-00097,referral-intake,21,house_coordinator
SD-00098,referral-intake,2,house_coordinator
SD-00099,referral-intake,1,house_coordinator
SD-00100,referral-intake,21,house_coordinator
SD-00101,referral-intake,0,house_coordinator
SD-00102,referral-intake,0,house_coordinator
SD-00103,referral-intake,4,house_coordinator
SD-00104,referral-intake,0,house_coordinator
SD-00105,referral-intake,22,house_coordinator
SD-00106,referral-intake,4,house_coordinator
SD-00107,referral-intake,1,house_coordinator
SD-00108,referral-intake,0,house_coordinator
SD-00109,referral-intake,22,house_coordinator
SD-00110,referral-intake,22,house_coordinator
SD-00111,referral-intake,23,house_coordinator
SD-00112,referral-intake,4,house_coordinator
SD-00113,referral-intake,21,house_coordinator
SD-00114,referral-intake,1,house_coordinator
SD-00115,referral-intake,3,house_coordinator
SD-00116,referral-intake,0,house_coordinator
SD-00117,referral-intake,0,house_coordinator
SD-00118,referral-intake,3,house_coordinator
SD-00119,referral-intake,0,house_coordinator
SD-00120,referral-intake,0,house_coordinator
SD-00121,referral-intake,23,house_coordinator
SD-00122,referral-intake,2,house_coordinator
SD-00123,referral-intake,4,house_coordinator
SD-00124,referral-intake,21,house_coordinator
SD-00125,referral-intake,1,house_coordinator
SD-00126,referral-intake,0,on_call_supervisor
SD-00127,referral-intake,3,house_coordinator
SD-00128,referral-intake,0,house_coordinator
SD-00129,referral-intake,2,on_call_supervisor
SD-00130,referral-intake,21,house_coordinator
SD-00131,referral-intake,1,house_coordinator
SD-00132,referral-intake,4,house_coordinator
SD-00133,referral-intake,21,house_coordinator
SD-00134,referral-intake,4,house_coordinator
SD-00135,referral-intake,2,house_coordinator
SD-00136,referral-intake,21,house_coordinator
SD-00137,referral-intake,1,house_coordinator
SD-00138,referral-intake,22,house_coordinator
SD-00139,referral-intake,23,house_coordinator
SD-00140,referral-intake,3,house_coordinator
SD-00141,referral-intake,4,house_coordinator
SD-00142,referral-intake,1,house_coordinator
SD-00143,referral-intake,3,house_coordinator
SD-00144,referral-intake,4,house_coordinator
SD-00145,referral-intake,4,on_call_supervisor
SD-00146,referral-intake,2,house_coordinator
SD-00147,referral-intake,5,house_coordinator
SD-00148,referral-intake,5,house_coordinator
SD-00149,referral-intake,1,house_coordinator
SD-00150,referral-intake,21,house_coordinator
SD-00151,referral-intake,23,house_coordinator
SD-00152,referral-intake,5,house_coordinator
SD-00153,referral-intake,1,on_call_supervisor
SD-00154,referral-intake,4,house_coordinator
SD-00155,referral-intake,23,house_coordinator
SD-00156,referral-intake,21,house_coordinator
SD-00157,referral-intake,3,house_coordinator
SD-00158,referral-intake,23,house_coordinator
SD-00159,referral-intake,4,house_coordinator
SD-00160,referral-intake,0,house_coordinator
SD-00161,referral-intake,4,house_coordinator
SD-00162,referral-intake,23,house_coordinator
SD-00163,referral-intake,3,house_coordinator
