case_id,minutes_matchrun_to_primary_acceptance
C-0001,191
C-0002,143
C-0003,403
C-0004,133
C-0005,86
C-0006,69
C-0007,61
C-0008,70
C-0009,163
C-0010,119
C-0011,74
C-0012,86
C-0013,49
C-0014,95
C-0015,103
C-0016,170
C-0017,131
C-0018,94
C-0019,56
C-0020,153
C-0021,131
C-0022,145
C-0023,208
C-0024,165
C-0025,51
C-0026,57
C-0027,137
C-0028,143
C-0029,46
C-0030,365
C-0031,246
C-0032,232
C-0033,91
C-0034,150
C-0035,151
C-0036,158
C-0037,192
C-0038,246
C-0039,80
C-0040,78
C-0041,130
C-0042,55
C-0043,156
C-0044,133
C-0045,170
C-0046,64
C-0047,196
C-0048,142
C-0049,128
C-0050,170
C-0051,169
C-0052,112
C-0053,166
C-0054,107
C-0055,177
C-0056,84
C-0057,55
C-0058,120
C-0059,56
C-0060,240
C-0061,140
C-0062,200
C-0063,93
C-0064,97
C-0065,105
C-0066,97
C-0067,115
C-0068,69
C-0069,86
C-0070,113
C-0071,117
C-0072,62
C-0073,188
C-0074,98
C-0075,91
C-0076,49
C-0077,112
C-0078,122
C-0079,69
C-0080,66
C-0081,78
C-0082,125
C-0083,99
C-0084,82
C-0085,125
C-0086,184
C-0087,170
C-0088,127
C-0089,225
C-0090,164
C-0091,476
C-0092,223
C-0093,77
C-0094,95
C-0095,128
C-0096,164
C-0097,99
C-0098,111
C-0099,106
C-0100,129
C-0101,107
C-0102,107
C-0103,211
C-0104,104
C-0105,229
C-0106,131
C-0107,84
C-0108,78
C-0109,136
C-0110,128
C-0111,48
C-0112,80
C-0113,125
C-0114,75
C-0115,99
C-0116,152
C-0117,71
C-0118,128
C-0119,68
C-0120,78
C-0121,163
C-0122,123
C-0123,81
C-0124,138
C-0125,63
C-0126,38
C-0127,116
C-0128,87
C-0129,120
C-0130,161
C-0131,137
C-0132,80
C-0133,68
C-0134,82
C-0135,136
C-0136,115
C-0137,125
C-0138,187
C-0139,162
C-0140,136
C-0141,81
C-0142,78
