referral_id,hospital,arrived_hour,after_hours,first_contact_no_answer,minutes_to_second_contact,worked_by,progressed,minutes_stalled_before_closed
R-0001,H-1207,5,0,1,5,,0,54
R-0002,H-1102,20,0,1,5,,0,89
R-0003,H-1207,8,0,0,,,1,
R-0004,H-1490,22,0,0,,,1,
R-0005,H-1207,17,0,0,,,1,
R-0006,H-1102,11,1,0,,house_coordinator,0,211
R-0007,H-1490,14,1,1,6,house_coordinator,0,82
R-0008,H-1102,7,0,0,,,0,27
R-0009,H-1355,16,0,0,,,1,
R-0010,H-1207,5,0,0,,,0,59
R-0011,H-1355,8,0,1,12,,0,74
R-0012,H-1102,17,0,1,5,,0,88
R-0013,H-1355,0,1,0,,house_coordinator,0,84
R-0014,H-1102,16,0,1,8,,0,127
R-0015,H-1102,21,0,0,,,0,57
R-0016,H-1207,0,1,0,,house_coordinator,0,49
R-0017,H-1207,7,1,1,4,house_coordinator,1,
R-0018,H-1207,1,1,0,,house_coordinator,0,109
R-0019,H-1102,9,1,1,7,house_coordinator,0,82
R-0020,H-1102,13,0,0,,,1,
R-0021,H-1102,18,1,0,,house_coordinator,0,57
R-0022,H-1102,7,1,0,,house_coordinator,1,
R-0023,H-1207,3,1,0,,house_coordinator,0,84
R-0024,H-1102,2,0,0,,,1,
R-0025,H-1355,21,1,0,,house_coordinator,0,119
R-0026,H-1102,17,0,0,,,0,44
R-0027,H-1490,16,1,0,,house_coordinator,0,131
R-0028,H-1102,16,0,0,,,1,
R-0029,H-1490,14,1,1,11,house_coordinator,0,115
R-0030,H-1355,9,1,0,,house_coordinator,1,
R-0031,H-1102,7,0,1,9,,1,
R-0032,H-1102,20,1,0,,house_coordinator,1,
R-0033,H-1207,12,0,0,,,0,19
R-0034,H-1207,21,1,1,10,house_coordinator,0,113
R-0035,H-1102,10,0,0,,,1,
R-0036,H-1102,8,0,0,,,0,136
R-0037,H-1207,3,0,0,,,0,53
R-0038,H-1207,18,0,0,,,0,43
R-0039,H-1355,14,0,0,,,1,
R-0040,H-1102,20,1,0,,house_coordinator,0,86
R-0041,H-1490,16,0,1,16,,0,182
R-0042,H-1207,21,0,0,,,0,47
R-0043,H-1355,3,1,0,,house_coordinator,0,105
R-0044,H-1102,12,0,1,11,,1,
R-0045,H-1207,16,0,0,,,0,32
R-0046,H-1102,21,0,0,,,0,189
R-0047,H-1102,23,0,0,,,0,65
R-0048,H-1355,22,0,1,4,,0,66
R-0049,H-1355,17,0,1,12,,0,118
R-0050,H-1207,1,1,0,,house_coordinator,0,54
R-0051,H-1102,9,0,0,,,0,90
R-0052,H-1490,18,1,0,,house_coordinator,0,330
R-0053,H-1102,11,0,0,,,0,93
R-0054,H-1207,4,0,0,,,1,
R-0055,H-1490,17,0,0,,,0,50
R-0056,H-1207,1,1,1,11,house_coordinator,1,
R-0057,H-1102,5,1,1,7,house_coordinator,0,281
R-0058,H-1490,4,0,1,6,,1,
R-0059,H-1102,0,0,1,4,,0,80
R-0060,H-1207,21,0,0,,,0,190
R-0061,H-1207,3,1,0,,house_coordinator,0,155
