case_id,minutes_matchrun_to_primary_acceptance
C-0002,127
C-0004,164
C-0008,130
C-0009,175
C-0010,255
C-0011,173
C-0012,155
C-0016,74
C-0017,190
C-0018,124
C-0020,164
C-0022,194
C-0023,127
C-0026,117
C-0027,197
C-0029,95
C-0030,185
C-0032,79
C-0033,114
C-0034,119
C-0036,126
C-0038,172
C-0039,156
C-0040,143
C-0041,107
C-0042,92
C-0045,169
C-0046,82
C-0047,134
C-0049,210
C-0051,191
C-0052,145
C-0054,235
C-0057,164
C-0058,103
C-0060,167
C-0061,163
C-0062,189
C-0063,150
C-0064,152
C-0065,246
C-0066,139
C-0067,78
C-0068,248
C-0070,147
C-0071,79
C-0072,204
C-0073,142
C-0074,156
C-0076,193
C-0079,147
C-0081,150
C-0083,116
C-0084,141
C-0090,102
C-0091,161
C-0092,113
C-0093,149
C-0094,198
C-0096,74
C-0097,129
C-0098,176
C-0099,146
C-0100,107
C-0102,264
C-0104,301
C-0108,88
C-0111,136
C-0114,75
C-0115,44
C-0116,134
C-0117,161
C-0118,147
C-0119,240
C-0120,167
C-0124,106
C-0125,195
C-0126,141
C-0127,335
C-0128,91
C-0130,230
C-0131,137
C-0133,98
C-0135,176
C-0136,120
C-0137,128
C-0139,138
C-0140,102
C-0141,237
C-0143,145
C-0144,259
C-0145,83
C-0148,307
C-0149,165
