dispatch_id,case_id,provider,response_minutes,door_to_door_minutes
D-0000,C-0002,meridian_courier,31,84
D-0001,C-0002,meridian_courier,34,178
D-0002,C-0004,meridian_courier,33,359
D-0003,C-0004,meridian_courier,22,188
D-0004,C-0004,northline_air,31,164
D-0005,C-0012,meridian_courier,46,116
D-0006,C-0012,northline_air,22,133
D-0007,C-0012,meridian_courier,34,206
D-0008,C-0018,meridian_courier,29,171
D-0009,C-0018,meridian_courier,24,221
D-0010,C-0018,northline_air,33,235
D-0011,C-0023,meridian_courier,25,201
D-0012,C-0026,meridian_courier,42,176
D-0013,C-0026,northline_air,37,162
D-0014,C-0029,meridian_courier,33,253
D-0015,C-0030,meridian_courier,32,158
D-0016,C-0030,meridian_courier,36,157
D-0017,C-0030,meridian_courier,22,187
D-0018,C-0032,northline_air,38,176
D-0019,C-0034,northline_air,46,213
D-0020,C-0034,meridian_courier,43,123
D-0021,C-0034,northline_air,59,229
D-0022,C-0036,meridian_courier,29,209
D-0023,C-0036,northline_air,34,175
D-0024,C-0038,meridian_courier,25,182
D-0025,C-0038,meridian_courier,24,173
D-0026,C-0040,meridian_courier,24,208
D-0027,C-0040,meridian_courier,31,344
D-0028,C-0040,northline_air,25,165
D-0029,C-0041,meridian_courier,40,191
D-0030,C-0041,meridian_courier,53,176
D-0031,C-0042,meridian_courier,35,146
D-0032,C-0042,northline_air,50,130
D-0033,C-0045,northline_air,44,122
D-0034,C-0049,meridian_courier,31,177
D-0035,C-0052,meridian_courier,43,181
D-0036,C-0057,meridian_courier,24,153
D-0037,C-0057,meridian_courier,37,142
D-0038,C-0058,meridian_courier,42,169
D-0039,C-0058,meridian_courier,28,199
D-0040,C-0060,meridian_courier,36,119
D-0041,C-0063,meridian_courier,41,230
D-0042,C-0063,meridian_courier,38,185
D-0043,C-0063,meridian_courier,38,230
D-0044,C-0064,meridian_courier,39,279
D-0045,C-0064,meridian_courier,27,272
D-0046,C-0066,northline_air,34,201
D-0047,C-0067,meridian_courier,40,202
D-0048,C-0068,meridian_courier,32,210
D-0049,C-0068,meridian_courier,47,283
D-0050,C-0068,meridian_courier,30,221
D-0051,C-0070,meridian_courier,28,232
D-0052,C-0070,meridian_courier,26,165
D-0053,C-0071,meridian_courier,42,167
D-0054,C-0072,meridian_courier,35,203
D-0055,C-0072,meridian_courier,29,207
D-0056,C-0073,northline_air,23,302
D-0057,C-0073,meridian_courier,21,330
D-0058,C-0076,meridian_courier,38,162
D-0059,C-0076,meridian_courier,34,144
D-0060,C-0076,northline_air,33,240
D-0061,C-0083,meridian_courier,33,232
D-0062,C-0083,northline_air,31,128
D-0063,C-0091,northline_air,31,123
D-0064,C-0091,meridian_courier,36,174
D-0065,C-0091,northline_air,23,174
D-0066,C-0092,meridian_courier,32,164
D-0067,C-0092,northline_air,28,222
D-0068,C-0092,northline_air,44,242
D-0069,C-0094,meridian_courier,44,361
D-0070,C-0094,meridian_courier,27,211
D-0071,C-0094,northline_air,37,204
D-0072,C-0096,northline_air,31,296
D-0073,C-0096,meridian_courier,38,253
D-0074,C-0097,northline_air,35,169
D-0075,C-0097,northline_air,34,209
D-0076,C-0098,meridian_courier,40,122
D-0077,C-0100,northline_air,35,278
D-0078,C-0100,meridian_courier,26,222
D-0079,C-0102,meridian_courier,38,359
D-0080,C-0102,meridian_courier,45,129
D-0081,C-0102,meridian_courier,34,132
D-0082,C-0108,meridian_courier,46,182
D-0083,C-0108,meridian_courier,27,271
D-0084,C-0114,meridian_courier,41,241
D-0085,C-0114,meridian_courier,34,148
D-0086,C-0114,meridian_courier,33,131
D-0087,C-0116,meridian_courier,30,283
D-0088,C-0117,meridian_courier,26,254
D-0089,C-0117,meridian_courier,39,159
D-0090,C-0118,meridian_courier,31,183
D-0091,C-0118,northline_air,22,122
D-0092,C-0118,meridian_courier,25,197
D-0093,C-0119,meridian_courier,27,221
D-0094,C-0124,meridian_courier,27,141
D-0095,C-0124,meridian_courier,24,429
D-0096,C-0124,meridian_courier,48,138
D-0097,C-0126,northline_air,27,133
D-0098,C-0126,meridian_courier,26,168
D-0099,C-0128,meridian_courier,38,196
D-0100,C-0128,meridian_courier,26,162
D-0101,C-0130,northline_air,26,219
D-0102,C-0131,northline_air,43,260
D-0103,C-0131,meridian_courier,32,155
D-0104,C-0133,meridian_courier,49,146
D-0105,C-0136,meridian_courier,44,241
D-0106,C-0136,northline_air,33,202
D-0107,C-0136,meridian_courier,38,192
D-0108,C-0137,meridian_courier,39,162
D-0109,C-0137,meridian_courier,41,330
D-0110,C-0137,meridian_courier,40,167
D-0111,C-0140,northline_air,43,186
D-0112,C-0140,meridian_courier,25,231
D-0113,C-0140,meridian_courier,24,150
D-0114,C-0141,meridian_courier,39,201
D-0115,C-0141,meridian_courier,36,274
D-0116,C-0143,meridian_courier,32,139
D-0117,C-0143,northline_air,36,198
D-0118,C-0143,northline_air,33,167
D-0119,C-0145,meridian_courier,24,243
D-0120,C-0145,meridian_courier,25,160
D-0121,C-0145,meridian_courier,32,153
D-0122,C-0148,meridian_courier,38,279
D-0123,C-0148,meridian_courier,34,177
