thread,hour,raised_by,first_responder,ack_minutes
ESC-0000,22,clinical_coordinator,director_clinical_ops,23
ESC-0001,4,clinical_coordinator,director_clinical_ops,31
ESC-0002,1,clinical_coordinator,director_clinical_ops,37
ESC-0003,2,clinical_coordinator,director_clinical_ops,29
ESC-0004,4,clinical_coordinator,director_clinical_ops,35
ESC-0005,10,clinical_coordinator,house_coordinator,24
ESC-0006,1,clinical_coordinator,director_clinical_ops,22
ESC-0007,4,clinical_coordinator,on_call_supervisor,31
ESC-0008,14,clinical_coordinator,house_coordinator,28
ESC-0009,15,clinical_coordinator,on_call_supervisor,32
ESC-0010,22,clinical_coordinator,on_call_supervisor,36
ESC-0011,15,clinical_coordinator,house_coordinator,59
ESC-0012,4,clinical_coordinator,director_clinical_ops,28
ESC-0013,2,clinical_coordinator,director_clinical_ops,21
ESC-0014,3,clinical_coordinator,director_clinical_ops,66
ESC-0015,3,clinical_coordinator,director_clinical_ops,30
ESC-0016,14,clinical_coordinator,on_call_supervisor,27
ESC-0017,2,clinical_coordinator,director_clinical_ops,22
ESC-0018,2,clinical_coordinator,director_clinical_ops,56
ESC-0019,2,clinical_coordinator,director_clinical_ops,24
ESC-0020,15,clinical_coordinator,on_call_supervisor,39
ESC-0021,11,clinical_coordinator,on_call_supervisor,25
ESC-0022,11,clinical_coordinator,house_coordinator,29
ESC-0023,14,clinical_coordinator,on_call_supervisor,35
ESC-0024,11,clinical_coordinator,on_call_supervisor,29
ESC-0025,2,clinical_coordinator,director_clinical_ops,39
ESC-0026,2,clinical_coordinator,director_clinical_ops,40
ESC-0027,1,clinical_coordinator,director_clinical_ops,27
ESC-0028,23,clinical_coordinator,director_clinical_ops,40
ESC-0029,2,clinical_coordinator,director_clinical_ops,22
ESC-0030,4,clinical_coordinator,director_clinical_ops,17
ESC-0031,15,clinical_coordinator,on_call_supervisor,30
ESC-0032,1,clinical_coordinator,director_clinical_ops,19
ESC-0033,4,clinical_coordinator,director_clinical_ops,18
ESC-0034,3,clinical_coordinator,director_clinical_ops,24
ESC-0035,11,clinical_coordinator,on_call_supervisor,53
ESC-0036,2,clinical_coordinator,on_call_supervisor,24
ESC-0037,11,clinical_coordinator,on_call_supervisor,26
ESC-0038,10,clinical_coordinator,on_call_supervisor,41
ESC-0039,3,clinical_coordinator,on_call_supervisor,24
ESC-0040,1,clinical_coordinator,director_clinical_ops,22
ESC-0041,22,clinical_coordinator,on_call_supervisor,44
ESC-0042,23,clinical_coordinator,director_clinical_ops,44
ESC-0043,4,clinical_coordinator,director_clinical_ops,20
ESC-0044,11,clinical_coordinator,on_call_supervisor,26
ESC-0045,11,clinical_coordinator,on_call_supervisor,28
ESC-0046,2,clinical_coordinator,director_clinical_ops,19
ESC-0047,15,clinical_coordinator,on_call_supervisor,28
ESC-0048,15,clinical_coordinator,on_call_supervisor,36
ESC-0049,3,clinical_coordinator,director_clinical_ops,28
ESC-0050,3,clinical_coordinator,director_clinical_ops,39
ESC-0051,14,clinical_coordinator,house_coordinator,33
ESC-0052,23,clinical_coordinator,director_clinical_ops,41
ESC-0053,2,clinical_coordinator,director_clinical_ops,25
