case_id,vendor,capture,attach_method,minutes_signed_to_attached
C-0002,docusign,electronic,manual_download,17
C-0004,docusign,electronic,manual_download,17
C-0008,docusign,electronic,manual_download,14
C-0009,docusign,electronic,manual_download,18
C-0010,docusign,electronic,manual_download,12
C-0011,docusign,electronic,manual_download,13
C-0012,docusign,electronic,manual_download,13
C-0016,docusign,electronic,manual_download,26
C-0017,docusign,electronic,manual_download,19
C-0018,docusign,electronic,manual_download,15
C-0020,docusign,electronic,manual_download,21
C-0022,docusign,electronic,manual_download,18
C-0023,docusign,electronic,manual_download,29
C-0026,docusign,electronic,manual_download,21
C-0027,docusign,electronic,manual_download,18
C-0029,docusign,electronic,manual_download,10
C-0030,docusign,electronic,manual_download,21
C-0032,docusign,electronic,manual_download,27
C-0033,docusign,electronic,manual_download,14
C-0034,docusign,electronic,manual_download,8
C-0036,docusign,electronic,manual_download,15
C-0038,docusign,electronic,manual_download,20
C-0039,docusign,electronic,manual_download,13
C-0040,docusign,electronic,manual_download,26
C-0041,docusign,electronic,manual_download,14
C-0042,docusign,electronic,manual_download,35
C-0045,docusign,electronic,manual_download,13
C-0046,docusign,electronic,manual_download,14
C-0047,docusign,electronic,manual_download,16
C-0049,docusign,electronic,manual_download,17
C-0051,docusign,electronic,manual_download,31
C-0052,docusign,electronic,manual_download,12
C-0054,docusign,electronic,manual_download,15
C-0057,docusign,electronic,manual_download,20
C-0058,docusign,electronic,manual_download,20
C-0060,docusign,electronic,manual_download,11
C-0061,docusign,electronic,manual_download,22
C-0062,docusign,electronic,manual_download,16
C-0063,docusign,electronic,manual_download,23
C-0064,docusign,electronic,manual_download,18
C-0065,docusign,electronic,manual_download,19
C-0066,docusign,electronic,manual_download,27
C-0067,docusign,electronic,manual_download,20
C-0068,docusign,electronic,manual_download,42
C-0070,docusign,electronic,manual_download,10
C-0071,docusign,electronic,manual_download,23
C-0072,docusign,electronic,manual_download,23
C-0073,docusign,electronic,manual_download,37
C-0074,docusign,electronic,manual_download,14
C-0076,docusign,electronic,manual_download,12
C-0079,docusign,electronic,manual_download,18
C-0081,docusign,electronic,manual_download,10
C-0083,docusign,electronic,manual_download,11
C-0084,docusign,electronic,manual_download,15
C-0090,docusign,electronic,manual_download,12
C-0091,docusign,electronic,manual_download,11
C-0092,docusign,electronic,manual_download,12
C-0093,docusign,electronic,manual_download,12
C-0094,docusign,electronic,manual_download,17
C-0096,docusign,electronic,manual_download,37
C-0097,docusign,electronic,manual_download,17
C-0098,docusign,electronic,manual_download,10
C-0099,docusign,electronic,manual_download,17
C-0100,docusign,electronic,manual_download,18
C-0102,docusign,electronic,manual_download,16
C-0104,docusign,electronic,manual_download,25
C-0108,docusign,electronic,manual_download,17
C-0111,docusign,electronic,manual_download,15
C-0114,docusign,electronic,manual_download,31
C-0115,docusign,electronic,manual_download,19
C-0116,docusign,electronic,manual_download,29
C-0117,docusign,electronic,manual_download,15
C-0118,docusign,electronic,manual_download,17
C-0119,docusign,electronic,manual_download,32
C-0120,docusign,electronic,manual_download,21
C-0124,docusign,electronic,manual_download,10
C-0125,docusign,electronic,manual_download,14
C-0126,docusign,electronic,manual_download,15
C-0127,docusign,electronic,manual_download,16
C-0128,docusign,electronic,manual_download,22
C-0130,docusign,electronic,manual_download,13
C-0131,docusign,electronic,manual_download,12
C-0133,docusign,electronic,manual_download,11
C-0135,docusign,electronic,manual_download,18
C-0136,docusign,electronic,manual_download,25
C-0137,docusign,electronic,manual_download,16
C-0139,docusign,electronic,manual_download,17
C-0140,docusign,electronic,manual_download,15
C-0141,docusign,electronic,manual_download,18
C-0143,docusign,electronic,manual_download,20
C-0144,docusign,electronic,manual_download,8
C-0145,docusign,electronic,manual_download,20
C-0148,docusign,electronic,manual_download,25
C-0149,docusign,electronic,manual_download,16
