referral_id,hospital,arrived_hour,after_hours,first_contact_no_answer,minutes_to_second_contact,worked_by,progressed,minutes_stalled_before_closed
R-0001,H-1102,3,1,0,,on_call_supervisor,0,86
R-0002,H-1102,18,0,0,,clinical_coordinator,0,239
R-0003,H-1490,20,1,1,17,house_coordinator,0,77
R-0004,H-1207,14,0,1,7,clinical_coordinator,0,118
R-0005,H-1102,0,1,0,,house_coordinator,0,132
R-0006,H-1102,19,1,0,,house_coordinator,1,
R-0007,H-1355,0,1,0,,house_coordinator,0,98
R-0008,H-1102,10,0,1,29,clinical_coordinator,0,111
R-0009,H-1355,8,0,1,28,clinical_coordinator,0,57
R-0010,H-1355,0,1,1,17,house_coordinator,1,
R-0011,H-1102,4,1,0,,house_coordinator,1,
R-0012,H-1102,16,0,0,,clinical_coordinator,1,
R-0013,H-1102,0,1,0,,house_coordinator,0,133
R-0014,H-1207,6,1,1,12,house_coordinator,1,
R-0015,H-1490,12,0,0,,clinical_coordinator,0,152
R-0016,H-1355,15,0,0,,clinical_coordinator,1,
R-0017,H-1102,20,1,0,,house_coordinator,1,
R-0018,H-1102,10,0,1,18,clinical_coordinator,0,59
R-0019,H-1207,13,0,0,,clinical_coordinator,0,167
R-0020,H-1102,12,0,0,,clinical_coordinator,0,90
R-0021,H-1490,9,0,0,,clinical_coordinator,1,
R-0022,H-1102,2,1,0,,house_coordinator,0,157
R-0023,H-1490,23,1,0,,on_call_supervisor,0,92
R-0024,H-1207,21,1,0,,house_coordinator,0,95
R-0025,H-1207,2,1,1,17,house_coordinator,1,
R-0026,H-1102,1,1,0,,house_coordinator,0,89
R-0027,H-1355,19,1,0,,house_coordinator,1,
R-0028,H-1207,14,0,0,,clinical_coordinator,1,
R-0029,H-1355,11,0,0,,clinical_coordinator,0,123
R-0030,H-1355,6,1,0,,on_call_supervisor,1,
R-0031,H-1102,12,0,0,,clinical_coordinator,0,108
R-0032,H-1102,3,1,0,,house_coordinator,0,145
